2026-08-13 16:22:55,746 | INFO | Arguments | {'model_path': PosixPath('/home/qwe/workspace/llama.cpp/Qwen3_30b_a3b/models/Qwen--Qwen3-30B-A3B/snapshots/master'), 'prompt': 'Hello, how are you?', 'max_new_tokens': 3, 'device': 'auto', 'dtype': 'auto', 'temperature': 0.0, 'top_k': 0, 'seed': 42, 'trace_layers': 'all', 'tensor_values': 6, 'router_rows': 4, 'log_top_tokens': 5, 'log_level': 'INFO', 'log_file': PosixPath('/home/qwe/workspace/llama.cpp/logs/qwen3_3_moe_tiny_trace.log'), 'tiny_random': True}
2026-08-13 16:22:56,736 | INFO | layer[0].attention_output | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-0.0662489 max=0.0653348 mean=0.000643296 std=0.0172354 sample=[0.006955099757760763, 0.0260968916118145, -0.022533686831593513, 0.00837421603500843, -0.06624888628721237, 0.007006026338785887]
2026-08-13 16:22:56,736 | INFO | layer[0].attention_weights | shape=(1, 4, 6, 6) dtype=torch.float32 device=cuda:0 min=0 max=1 mean=0.166667 std=0.251033 sample=[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026-08-13 16:22:56,737 | INFO | layer[0].post_attention_norm | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-2.89991 max=2.63183 mean=-0.031417 std=0.998726 sample=[-0.3435075879096985, 0.5934630036354065, -1.6420027017593384, 0.15127602219581604, -1.911299228668213, 0.11207610368728638]
2026-08-13 16:22:56,762 | INFO | layer[0].router_logits | shape=(6, 8) dtype=torch.float32 device=cuda:0 min=-0.388706 max=0.381541 mean=-0.04617 std=0.165272 sample=[-0.13569368422031403, 0.059913940727710724, 0.12329272925853729, -0.08800574392080307, -0.24240903556346893, -0.04450095444917679]
2026-08-13 16:22:56,762 | INFO | layer[0].selected_experts_last_4 | [[3, 2], [5, 6], [4, 2], [3, 2]]
2026-08-13 16:22:56,762 | INFO | layer[0].routing_weights_last_4 | [[0.15307652950286865, 0.13616657257080078], [0.1404310017824173, 0.1362331658601761], [0.16064512729644775, 0.13186736404895782], [0.19429461658000946, 0.1403735876083374]]
2026-08-13 16:22:56,762 | INFO | layer[0].expert_load | [(2, 5), (3, 3), (4, 1), (5, 1), (6, 1), (7, 1)]
2026-08-13 16:22:56,784 | INFO | layer[0].mlp_output | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-0.000800189 max=0.00080773 mean=6.39719e-06 std=0.000276567 sample=[0.00010878806642722338, -0.0001347332145087421, -0.00014388861018233, -9.646984108258039e-05, -0.0002805771364364773, -1.9876504666171968e-05]
2026-08-13 16:22:56,784 | INFO | layer[0].output | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-0.0761754 max=0.081763 mean=-0.000760082 std=0.0258803 sample=[-0.010543974116444588, 0.018269576132297516, -0.051065217703580856, 0.004594860132783651, -0.05955325439572334, 0.003455796279013157]
2026-08-13 16:22:56,784 | INFO | layer[1].input_norm | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-2.9059 max=2.63598 mean=-0.031095 std=0.998733 sample=[-0.3399297297000885, 0.5889973044395447, -1.6463038921356201, 0.14813481271266937, -1.9199517965316772, 0.11141225695610046]
2026-08-13 16:22:56,785 | INFO | layer[1].q_proj | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-0.509378 max=0.464507 mean=0.00819689 std=0.165119 sample=[0.073305144906044, -0.38207143545150757, 0.08954626321792603, 0.2836456894874573, -0.04176279902458191, -0.03386853635311127]
2026-08-13 16:22:56,785 | INFO | layer[1].q_norm | shape=(1, 6, 4, 16) dtype=torch.float32 device=cuda:0 min=-2.98967 max=2.83229 mean=0.0575006 std=0.998326 sample=[0.5030929446220398, -2.622154951095581, 0.6145557165145874, 1.9466594457626343, -0.2866179347038269, -0.23243965208530426]
2026-08-13 16:22:56,785 | INFO | layer[1].k_proj | shape=(1, 6, 32) dtype=torch.float32 device=cuda:0 min=-0.458897 max=0.482696 mean=0.0439446 std=0.156377 sample=[-0.18061117827892303, 0.029481515288352966, 0.05338149517774582, 0.07145833969116211, -0.1176156997680664, -0.01370936632156372]
2026-08-13 16:22:56,785 | INFO | layer[1].k_norm | shape=(1, 6, 2, 16) dtype=torch.float32 device=cuda:0 min=-2.40383 max=2.93412 mean=0.261314 std=0.965232 sample=[-1.1076323986053467, 0.18080098927021027, 0.32737216353416443, 0.43823185563087463, -0.7213006019592285, -0.08407529443502426]
2026-08-13 16:22:56,786 | INFO | layer[1].v_proj | shape=(1, 6, 32) dtype=torch.float32 device=cuda:0 min=-0.359965 max=0.363911 mean=0.0149888 std=0.135894 sample=[-0.14813679456710815, 0.17250952124595642, -0.14757227897644043, 0.10427919775247574, -0.010281205177307129, 0.014293484389781952]
2026-08-13 16:22:56,786 | INFO | layer[1].cache_position | shape=(6,) dtype=torch.int64 device=cuda:0 min=0 max=5 sample=[0, 1, 2, 3, 4, 5]
2026-08-13 16:22:56,786 | INFO | layer[1].causal_mask | shape=(1, 1, 6, 6) dtype=torch.float32 device=cuda:0 min=-3.40282e+38 max=0 mean=-inf std=inf sample=[0.0, -3.4028234663852886e+38, -3.4028234663852886e+38, -3.4028234663852886e+38, -3.4028234663852886e+38, -3.4028234663852886e+38]
2026-08-13 16:22:56,786 | INFO | layer[1].kv_cache_after_attention | sequence_length=6
2026-08-13 16:22:56,786 | INFO | layer[1].k_cache_after_rope | shape=(1, 2, 6, 16) dtype=torch.float32 device=cuda:0 min=-2.72052 max=2.93412 mean=0.246551 std=0.969108 sample=[-1.1076323986053467, 0.18080098927021027, 0.32737216353416443, 0.43823185563087463, -0.7213006019592285, -0.08407529443502426]
2026-08-13 16:22:56,787 | INFO | layer[1].v_cache | shape=(1, 2, 6, 16) dtype=torch.float32 device=cuda:0 min=-0.359965 max=0.363911 mean=0.0149888 std=0.135894 sample=[-0.14813679456710815, 0.17250952124595642, -0.14757227897644043, 0.10427919775247574, -0.010281205177307129, 0.014293484389781952]
2026-08-13 16:22:56,787 | INFO | layer[1].attention_output | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-0.0353397 max=0.0464474 mean=0.0016652 std=0.0139944 sample=[0.03815723955631256, -0.002723599085584283, 0.020555855706334114, 0.00017059734091162682, -0.003668881254270673, -0.016581907868385315]
2026-08-13 16:22:56,787 | INFO | layer[1].attention_weights | shape=(1, 4, 6, 6) dtype=torch.float32 device=cuda:0 min=0 max=1 mean=0.166667 std=0.241779 sample=[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026-08-13 16:22:56,787 | INFO | layer[1].post_attention_norm | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-2.34547 max=2.95493 mean=0.0297552 std=0.999004 sample=[0.7800005674362183, 0.43913206458091736, -0.8618074655532837, 0.1346113681793213, -1.7858552932739258, -0.3707773685455322]
2026-08-13 16:22:56,788 | INFO | layer[1].router_logits | shape=(6, 8) dtype=torch.float32 device=cuda:0 min=-0.453977 max=0.310329 mean=-0.0358717 std=0.14608 sample=[0.11154228448867798, 0.11914994567632675, -0.020589202642440796, -0.03299727290868759, 0.03399257734417915, 0.07515080273151398]
2026-08-13 16:22:56,788 | INFO | layer[1].selected_experts_last_4 | [[0, 1], [0, 1], [1, 0], [0, 1]]
2026-08-13 16:22:56,788 | INFO | layer[1].routing_weights_last_4 | [[0.17839117348194122, 0.14212073385715485], [0.14394861459732056, 0.1411992758512497], [0.1525517851114273, 0.1426776796579361], [0.1521754264831543, 0.13858291506767273]]
2026-08-13 16:22:56,788 | INFO | layer[1].expert_load | [(0, 5), (1, 6), (5, 1)]
2026-08-13 16:22:56,789 | INFO | layer[1].mlp_output | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-0.000756332 max=0.00076678 mean=1.04633e-05 std=0.000263811 sample=[-0.00017216357809957117, 4.618952516466379e-05, -7.284340244950727e-05, -0.0001716723054414615, -7.037135947030038e-05, 3.593112342059612e-05]
2026-08-13 16:22:56,789 | INFO | layer[1].output | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-0.0829621 max=0.102887 mean=0.000915583 std=0.0304733 sample=[0.027441101148724556, 0.015592167153954506, -0.030582206323742867, 0.004593785386532545, -0.0632925033569336, -0.013090180233120918]
2026-08-13 16:22:56,789 | INFO | final_norm | shape=(1, 6, 64) dtype=torch.float32 device=cuda:0 min=-2.34415 max=2.95539 mean=0.030181 std=0.998992 sample=[0.7753666639328003, 0.44056710600852966, -0.8641206622123718, 0.129800483584404, -1.7883720397949219, -0.3698717951774597]
2026-08-13 16:22:56,789 | INFO | lm_head.logits | shape=(1, 1, 151669) dtype=torch.float32 device=cuda:0 min=-0.787985 max=0.670015 mean=0.000333167 std=0.159684 sample=[0.032527096569538116, -0.08705402910709381, 0.053105033934116364, 0.1454530656337738, 0.1343936175107956, -0.15329480171203613]
2026-08-13 16:22:56,790 | INFO | Next-token candidates | [{'id': 28118, 'text': '-click', 'probability': 1.2717660865746439e-05}, {'id': 83035, 'text': ' Laugh', 'probability': 1.258294014405692e-05}, {'id': 71771, 'text': '.neo', 'probability': 1.2557017726066988e-05}, {'id': 2759, 'text': '()->', 'probability': 1.2336355212028138e-05}, {'id': 81341, 'text': 'capitalize', 'probability': 1.2211799912620336e-05}]
2026-08-13 16:22:56,794 | INFO | STEP 0 END | generated_id=28118 generated_text='-click' cache_after=6
2026-08-13 16:22:56,794 | INFO | STEP 1 BEGIN | phase=decode input_shape=(1, 1) attention_mask_shape=(1, 7) cache_before=6
2026-08-13 16:22:56,794 | INFO | embedding | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-0.0367151 max=0.0704216 mean=-0.00164478 std=0.0205869 sample=[-0.009985563345253468, -0.019445354118943214, -0.006750770844519138, -0.022881263867020607, -0.007664568722248077, -0.016230804845690727]
2026-08-13 16:22:56,838 | INFO | rope.position_ids | shape=(1, 1) dtype=torch.int64 device=cuda:0 min=6 max=6 sample=[6]
2026-08-13 16:22:56,839 | INFO | rope.cos | shape=(1, 1, 16) dtype=torch.float32 device=cuda:0 min=-0.320796 max=0.999998 mean=0.805596 std=0.429328 sample=[0.9601702690124512, -0.3207963705062866, 0.8253356218338013, 0.9820539355278015, 0.998200535774231, 0.9998199939727783]
2026-08-13 16:22:56,839 | INFO | rope.sin | shape=(1, 1, 16) dtype=torch.float32 device=cuda:0 min=-0.279415 max=0.947148 mean=0.188476 std=0.362175 sample=[-0.279415488243103, 0.9471482038497925, 0.5646424889564514, 0.18860028684139252, 0.059964004904031754, 0.018972529098391533]
2026-08-13 16:22:56,839 | INFO | layer[0].input_norm | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-1.77567 max=3.40584 mean=-0.0795473 std=0.995657 sample=[-0.4829370975494385, -0.9404459595680237, -0.326491117477417, -1.1066186428070068, -0.3706856071949005, -0.784978985786438]
2026-08-13 16:22:56,840 | INFO | layer[0].q_proj | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-0.40928 max=0.432844 mean=0.00724101 std=0.181155 sample=[-0.1647821068763733, 0.3606695830821991, 0.057093195617198944, 0.2695464491844177, 0.08871068805456161, 0.08013216406106949]
2026-08-13 16:22:56,840 | INFO | layer[0].q_norm | shape=(1, 1, 4, 16) dtype=torch.float32 device=cuda:0 min=-2.13311 max=2.45048 mean=0.0121066 std=0.999909 sample=[-0.6997464299201965, 1.5315816402435303, 0.24244599044322968, 1.1446276903152466, 0.376709520816803, 0.3402808606624603]
2026-08-13 16:22:56,840 | INFO | layer[0].k_proj | shape=(1, 1, 32) dtype=torch.float32 device=cuda:0 min=-0.398864 max=0.148683 mean=-0.0467083 std=0.128078 sample=[-0.0849531888961792, -0.05881361663341522, -0.08144757151603699, 0.05722220614552498, -0.3165682852268219, -0.01695534586906433]
2026-08-13 16:22:56,840 | INFO | layer[0].k_norm | shape=(1, 1, 2, 16) dtype=torch.float32 device=cuda:0 min=-2.67169 max=0.99592 mean=-0.355937 std=0.93448 sample=[-0.6963107585906982, -0.4820602536201477, -0.66757732629776, 0.4690164029598236, -2.594722032546997, -0.13897289335727692]
2026-08-13 16:22:56,841 | INFO | layer[0].v_proj | shape=(1, 1, 32) dtype=torch.float32 device=cuda:0 min=-0.305025 max=0.334024 mean=0.0142192 std=0.153258 sample=[-0.30502498149871826, -0.1600680649280548, 0.16459476947784424, -0.06450296938419342, -0.032343022525310516, -0.07592005282640457]
2026-08-13 16:22:56,841 | INFO | layer[0].cache_position | shape=(1,) dtype=torch.int64 device=cuda:0 min=6 max=6 sample=[6]
2026-08-13 16:22:56,841 | INFO | layer[0].causal_mask | shape=(1, 1, 1, 7) dtype=torch.float32 device=cuda:0 min=0 max=0 mean=0 std=0 sample=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026-08-13 16:22:56,841 | INFO | layer[0].kv_cache_after_attention | sequence_length=7
2026-08-13 16:22:56,841 | INFO | layer[0].k_cache_after_rope | shape=(1, 2, 7, 16) dtype=torch.float32 device=cuda:0 min=-2.66113 max=2.41342 mean=-0.126169 std=0.991983 sample=[1.5423539876937866, -2.236464738845825, 1.0363487005233765, -1.162806510925293, -0.369414359331131, 1.4455152750015259]
2026-08-13 16:22:56,842 | INFO | layer[0].v_cache | shape=(1, 2, 7, 16) dtype=torch.float32 device=cuda:0 min=-0.407387 max=0.462898 mean=-0.01501 std=0.164075 sample=[-0.08460733294487, -0.17573772370815277, -0.007854895666241646, 0.052357565611600876, -0.029258936643600464, 0.30842021107673645]
2026-08-13 16:22:56,842 | INFO | layer[0].attention_output | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-0.0299643 max=0.0350931 mean=0.00191595 std=0.0141022 sample=[-0.003545531537383795, -0.008532571606338024, -0.02028333768248558, 0.016582733020186424, -0.00873572751879692, 0.006842272821813822]
2026-08-13 16:22:56,842 | INFO | layer[0].attention_weights | shape=(1, 4, 1, 7) dtype=torch.float32 device=cuda:0 min=0.0209283 max=0.527828 mean=0.142857 std=0.111427 sample=[0.12254704535007477, 0.15696407854557037, 0.10618054121732712, 0.20751509070396423, 0.14016877114772797, 0.19191968441009521]
2026-08-13 16:22:56,842 | INFO | layer[0].post_attention_norm | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-2.47748 max=2.80588 mean=0.0109826 std=0.999119 sample=[-0.548011302947998, -1.1331100463867188, -1.094885230064392, -0.2550913989543915, -0.6642143726348877, -0.3802369236946106]
2026-08-13 16:22:56,842 | INFO | layer[0].router_logits | shape=(1, 8) dtype=torch.float32 device=cuda:0 min=-0.37344 max=0.0188699 mean=-0.130029 std=0.124156 sample=[-0.00785335898399353, -0.03511606156826019, -0.2204716056585312, -0.37344038486480713, -0.17266131937503815, -0.18767061829566956]
2026-08-13 16:22:56,843 | INFO | layer[0].selected_experts_last_1 | [[6, 0]]
2026-08-13 16:22:56,843 | INFO | layer[0].routing_weights_last_1 | [[0.14398396015167236, 0.14018720388412476]]
2026-08-13 16:22:56,843 | INFO | layer[0].expert_load | [(0, 1), (6, 1)]
2026-08-13 16:22:56,843 | INFO | layer[0].mlp_output | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-0.000520315 max=0.000561701 mean=-2.87037e-09 std=0.000247014 sample=[0.00015869885100983083, -8.94013064680621e-05, 0.00026460495428182185, -0.00033710544812493026, 0.0005264689680188894, -0.00020730309188365936]
2026-08-13 16:22:56,843 | INFO | layer[0].output | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-0.0613344 max=0.069588 mean=0.000271172 std=0.0246968 sample=[-0.013372395187616348, -0.028067326173186302, -0.026769502088427544, -0.0066356360912323, -0.015873827040195465, -0.009595835581421852]
2026-08-13 16:22:56,844 | INFO | layer[1].input_norm | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-2.48131 max=2.81522 mean=0.0109704 std=0.999121 sample=[-0.5409873723983765, -1.1354786157608032, -1.0829744338989258, -0.2684481739997864, -0.6421841382980347, -0.3882046341896057]
2026-08-13 16:22:56,844 | INFO | layer[1].q_proj | shape=(1, 1, 64) dtype=torch.float32 device=cuda:0 min=-0.430675 max=0.384501 mean=-0.0256704 std=0.149589 sample=[0.013592426665127277, -0.2065199315547943, 0.07342701405286789, 0.06072116643190384, -0.015521842986345291, -0.15639501810073853]
2026-08-13 16:22:56,844 | INFO | layer[1].q_norm | shape=(1, 1, 4, 16) dtype=torch.float32 device=cuda:0 min=-2.67075 max=2.19796 mean=-0.179029 std=0.983818 sample=[0.12831571698188782, -1.949596881866455, 0.6931683421134949, 0.5732221603393555, -0.14652986824512482, -1.4764058589935303]
2026-08-13 16:22:56,844 | INFO | layer[1].k_proj | shape=(1, 1, 32) dtype=torch.float32 device=cuda:0 min=-0.571416 max=0.456076 mean=0.0494407 std=0.189215 sample=[-0.5714155435562134, 0.112983837723732, 0.05904633551836014, 0.1345505714416504, -0.0127640962600708, 0.21810686588287354]
2026-08-13 16:22:56,844 | INFO | layer[1].k_norm | shape=(1, 1, 2, 16) dtype=torch.float32 device=cuda:0 min=-2.5854 max=2.06353 mean=0.260027 std=0.965587 sample=[-2.585395097732544, 0.5112004280090332, 0.26715779304504395, 0.6087800860404968, -0.057751722633838654, 0.9868342876434326]
